Key,Spanish(es),English(en)
A0001,Cargando...,Charging...
A0002,Paso 1 de 3,Step 1 of 3
A0003,¡Bienvenidos!,Welcome!
A0004,Quisieramos conocer para qué usas PeriodicApp?,We would like to know what you use PeriodicApp for?
A0005,Encuesta Conocimiento,Knowledge Survey
A0006,Encuesta Aprendizaje,Learning Survey
A0007,¡Bienvenido de Nuevo!,Welcome Back!
A0008,Completa las misiones para obtener puntos de experiencia.,Complete missions to earn experience points.
A0009,Continuar,Continue
A0010,Mision Final,Final Mission
A0011,Comenzar,Begin
A0012,Número Atomico,Atomic number
A0013,Misiones,Missions
A0014,Información,Information
A0015,Descripción,Description
A0016,Propiedades,Properties
A0017,¡DE NUEVO EN LINEA!,BACK ONLINE!
A0018,"¡Conectate y compite! Registrate ahora para subir tu xp a la nube, asegurate de  que nunca lo pierdas y asi puedas enfretar a otros jugadores en el ranking global. ¡Demuestra quien es el mejor!","Connect and compete! Register now to upload your XP to the cloud, ensure you never lose it, and compete against other players in the global rankings. Show who's the best!"
A0019,"Te hace falta solo un paso para subir tus resultados, te registraste pero no hiciste login, logueate para completar la experiencia",You only need one step to upload your results. You registered but did not log in. Log in to complete the experience.
A0020,Dato Clave,Key Fact
A0021,Cerrar,Close
A0022,Digite codigo...,Enter code...
A0023,Conectar,Connect
A0024,Pregunta lo que quieras,Ask whatever you want
A0025,¿Estás de acuerdo con la siguiente afirmación?,Do you agree with the following statement?
A0026,Si,Yeah
A0027,No,No
A0028,"¡Hola! Bienvenido a PeriodiApp

¡Estamos felices de tenerte aquí! 

Por ahora, estás usando la app en modo offline, así que puedes explorar y empezar a trabajar sin conexión.

¡Elige una opción y empecemos juntos esta aventura! ","Hello! Welcome to PeriodiApp

We're happy to have you here!

For now, you're using the app in offline mode, so you can explore and start working without a connection.

Choose an option and let's start this adventure together!"
A0029,Estudiante,Student
A0030,Docente,Teaching
A0031,Correo Electrónico,Email
A0032,Contraseña,Password
A0033,Confirmar Contraseña,Confirm Password
A0034,Registrarse,Register
A0035,¿Ya tienes una cuenta?,Already have an account?
A0036,Iniciar Sesión,Login
A0037,"Si eliges continuar, aceptas los Términos y Política de Privacidad","By continuing, you agree to the Terms and Privacy Policy."
A0038,Verificar,Verify
A0039,Digite el codigo de veficación,Enter the verification code
A0040,Cambiar,Change
A0041,¡SIN CONEXIÓN A INTERNET!,NO INTERNET CONNECTION!
A0042,"No tienes wifi, no es posible realizar esta acción  sin conexión a internet, ingresa al modo offfline mientras volver al ruedo!","If you don't have Wi-Fi, it's not possible to perform this action without an internet connection, enter offline mode while you get back on track!"
A0043,¿Aún no estas registrado en Periodicapp?,Are you not registered with Periodicapp yet?
A0044,Registrar,Register
A0045,¿Olvidaste tu contraseña?,Forgot your password?
A0046,Restablecer Contraseña,Reset Password
A0047,Ingresa tu correo,Enter your email
A0048,Enviar,Send
A0049,Nombre de Usuario,User name
A0050,Guardar,Keep
A0051,Avance,Advance
A0052,Logros,Achievements
A0053,Total XP,Total XP
A0054,Misiones Completadas,Completed Missions
A0055,Logros Desbloqueados,Achievements Unlocked
A0056,Posición en el ranking,Ranking position
A0057,"Debes contestar ciertas encuestas para poder proceder con el método de enseñanza adecuado para ti.

Quisieramos conocer que encuesta quieres presentar primero?","You must complete certain surveys to be able to choose the appropriate teaching method for you.

We'd like to know which survey you'd like to take first."
A0058,Elementos,Elements
A0060,Amigos,Friends
A0061,Busca dentro de tus amigos,Search within your friends
A0062,AGREGAR AMIGOS,ADD FRIENDS
A0063,SOLICITUDES DE AMISTAD,FRIENDSHIP REQUESTS
A0064,ELIMINAR AMIGO!!!,DELETE FRIEND!!!
A0065,Encuentra tus amigos,Find your friends
A0066,Busca por nombre de usuario,Search by username
A0067,Solicitudes De Amistad,Friend Requests
A0068,"Estas seguro que deseas cerrar sesión?, en caso de estar offline se guardará el progreso hasta la última vez que estuviste en linea","Are you sure you want to log out? If you are offline, your progress will be saved up to the last time you were online."
A0069,Cancelar,Cancel
A0070,Cerrar Sesión,Log Out
A0071,Términos y Condiciones,Terms and Conditions
